The New Coronavirus and Preparing for the Next Viral Pandemic https://www.newyorker.com/news/daily-comment/the-new-coronavirus-and-preparing-for-the-next-viral-pandemic?utm_source=twitter&utm_medium=social&utm_campaign=onsite-share&utm_brand=the-new-yorker&utm_social-type=earned … via @NewYorker
"Main focus for preventing coronavirus spread should be hand hygiene, not face masks https://www.nbcnews.com/health/health-news/main-focus-preventing-coronavirus-spread-should-be-hand-hygiene-not-n1144346 … via @nbcnews"
"Twitter is “strongly encouraging” all of its nearly 5,000 global employees to work from home due to concerns over the spread of the coronavirus https://www.bloomberg.com/news/articles/2020-03-02/twitter-advises-nearly-5-000-global-employees-to-work-from-home … via @technology"
"“There are a thousand people infected today, in seven or eight weeks there could be sixty four thousand people infected in the State of Washington.”

~Governor Jay Inslee

Inslee spoke on the Coronavirus catastrophe today...

Source: @CBSNews"
