"Trump tested ""positively"" for coronavirus "
"First YouTube Video is live peeps!! Please subscribe, watch & like the video and share with as many people as you can #apexlegends #gamergirl #lockdown #coronavirus #youtube #gamer #streamer #mixerstreamer #mixerstreamersconnect #mixerstreamersunite"
"RT @inzyrashid: REVEALED: “Stakeholders expresssd deep dismay, anger, loss, and fear in BAME  communities”

More about what’s in the unpubl…"
"Learn the lessons of the #COVID19 pandemic: No Going Back!

@JohnRLister in Briefing from 28/04/20:

https://t.co/iaWN8A843S"
What a bunch of twats😂😂😂
"RT @TheBMA: ""94% of doctors who have died from #COVID19 are from a BAME background....This is a time when we must protect our workforce."" -…"
Jamaica confirms first case of coronavirus https://www.voice-online.co.uk/news/world-news/2020/03/10/jamaica-confirms-first-case-of-coronavirus/ …
