"No one drinking Corona is stopping because of the name ""coronavirus"".  This is obviously fake.

It's not because they know better.  It's because people who are drinking Corona don't  value their lives."
"No one drinking Corona is stopping because of the name ""coronavirus"".  This is obviously fake.

It's not because they know better.  It's because people who are drinking Corona don't  value their lives. https://twitter.com/RachaelBL/status/1233529397170384896 …"
