RT @HanuNews: 222 New cases in AP 🙏  #Coronavirus
Hope so
"RT @Dhruvdube: You need prayer? Your PM needs brains, your army needs valour, Your country needs money.

So many wishes. https://t.co/dXP2f…"
"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…"
RT @DrSubhasree: This is what I got as reply to my work. I didn't reply. I don't need to reply to such small things. Just want to say - num…
