"The Corona virus has technically ridiculed the modern medicine. We are beaten back to sometimes in the 15th century or a little bit farther. What we are doing now is called experimental drugs mangement.

#CoronavirusPandemic
#CoronaVirusUpdate
#COVIDー19
#QuaratineLife"
"The Corona virus has technically ridiculed the modern medicine. We are beaten back to sometimes in the 15th century or a little bit farther. What we are doing now is called experimental drugs mangement.

#CoronavirusPandemic
#CoronaVirusUpdate
#COVIDー19
#QuaratineLife"
