"wow it was hard being gay in 2010, now it's hard being asian in 2020. fml. fuck this #coronavirus."
"Lulu Wang accepts best supporting actress for Zhao Shuzhen, stuck in China because of the coronavirus, and describes Zhao's reaction upon hearing the premise of The Farewell.
""'We do this all the time--what's so exciting about this?""
#SpiritAwards"
We’ve got.... what looks to be 62 percent of your corona virus test results back if you’re interested?
Huge news if coronavirus can be transmitted to invertebrates. https://twitter.com/SenTedCruz/status/1236790420253954050 …
