"Coronavirus Christmas Tree update:
Neighbors Christmas tree is still up and plugged in. The lights on the top half have burned out. Bottom half still going strong. Star on top is hanging in there too. 

#christmasinmarch #coronawatch"
"Coronavirus Christmas Tree update:
Neighbors Christmas tree is still up and plugged in. The lights on the top half have burned out. Bottom half still going strong. Star on top is hanging in there too. 

#christmasinmarch #coronawatch"
