Vagrants seek shelter underground as coronavirus causes 90% drop in ridership. #FMTNews
2 Chinese tourists feared to have the coronavirus tested negative. #FMTNews #CruiseShio #Italy #Coronavirus 
Students from other provinces in China are allowed to register under close observation by learning institutions. #FMTNews #Coronavirus 
"More than 7,700 people have been infected with the virus and 170 have died. #FMTNews #Coronavirus #WHO #InternationalEmergency"
A woman who travelled to Wuhan recently passes virus to husband. #FMTNews #US #Coronavirus 
"Hundreds of thousands in S. Korea, Malaysia signed online petitions urging for China tourists to be barred. #FMTNews #Coronavirus "
Patient tested positive for the novel coronavirus linked to the outbreak in Wuhan. #FMTNews #SARShttps://www.freemalaysiatoday.com/category/world/2020/01/13/new-sars-like-virus-found-in-traveller-from-china-says-thailand/ …
2 Chinese tourists feared to have the coronavirus tested negative. #FMTNews #CruiseShio #Italy #Coronavirus https://www.freemalaysiatoday.com/category/world/2020/01/31/passengers-disembark-italy-cruise-ship-after-virus-scare/ …
The coronavirus has caused alarm because of its genetic similarities to SARS. #FMTNews #SARShttps://www.freemalaysiatoday.com/category/world/2020/01/22/us-taiwan-confirm-china-virus-cases-as-death-toll-hits-6/ …
"The coronavirus has claimed 132 lives and infected more than 6,000 people. #FMTNews #China #Virus #Healthhttps://www.freemalaysiatoday.com/category/world/2020/01/30/who-tells-world-to-take-action-ahead-of-outbreak-crisis-talks/ …"
We need to trust the professionals at the ministry of health to handle the coronavirus threat and not fall prey to the hidden hands fanning the flames of fear and hysteria for their own gain. #FMTNews #FluVaccine #Coronavirus https://www.freemalaysiatoday.com/category/opinion/2020/01/30/beware-the-virulence-of-fear/ …
"Coronavirus problem will pass, and only a few industries will be affected if people don't panic, says analyst. #FMTNews #WuhanVirushttps://www.freemalaysiatoday.com/category/nation/2020/02/09/economists-knock-business-plea-for-sst-epf-cuts/ …"
81 new deaths recorded in Hubei province. #FMTNews #Coronavirus https://www.freemalaysiatoday.com/category/highlight/2020/02/09/coronavirus-death-toll-rises-to-780/ …
Figures show a sharp increase in confirmed infections in Hubei. #FMTNews #Coronavirus #Hubei #Wuhan #Chinahttps://www.freemalaysiatoday.com/category/world/2020/02/02/china-virus-death-toll-rises-to-304-with-45-new-fatalities/ …
"Most of the fatalities were in the provincial capital Wuhan, where the virus first emerged. #FMTNews #Wuhan #Hubei #Coronavirus #Covid19https://www.freemalaysiatoday.com/category/world/2020/02/20/hubei-reports-108-more-virus-deaths-to-bring-toll-to-2112/ …"
"I’m relieved, says a departing 77-year-old Japanese passenger. #FMTNews #DiamondPrincess #Coronavirus #Cruisehttps://www.freemalaysiatoday.com/category/world/2020/02/20/passengers-leave-japan-virus-ship-but-new-infections-detected/ …"
The pair were residents of Qom and had no history of leaving the country. #FMTNews #Iranian #Covid19 #Coronavirus https://www.freemalaysiatoday.com/category/world/2020/02/20/covid-19-kills-2-iranians-in-first-mideast-deaths/ …
"Do Malaysian insurance policies cover the Coronavirus? #FMTNews #FMTLifestyle #insurance #Coronavirus
https://www.freemalaysiatoday.com/category/leisure/2020/02/13/do-malaysian-insurance-policies-cover-coronavirus/ …"
It has the third highest number of cases in the world after the United States and Brazil. #FMTNews #Covid19 #Russia  https://t.co/aYjTimfC35
"Environmental contamination plays an important factor in the disease's transmission. #FMTNews #Coronavirus
https://www.freemalaysiatoday.com/category/world/2020/03/05/coronavirus-lingers-but-disinfectants-kill-it/ …"
"Nadine Dorries has reportedly been in touch with hundreds of people, including PM Boris Johnson. #FMTNews #NadineDorries #Covid19 #Coronavirus https://www.freemalaysiatoday.com/category/world/2020/03/11/uk-health-minister-tests-positive-for-coronavirus/ …"
