Send him a case of coronavirus. For him and his good ole boy's.
"If I die it won't be due to the coronavirus, it will be due to lack of adequate healthcare services under the UCP government."
"It's not herbal medicine versus vaccination. A holistic approach means they can work together. Mint for nausea, jewelweed for rashes, and vaccines for polio, whooping cough, and coronavirus.

https://buff.ly/2wjdErY pic.twitter.com/4XNrFJ0CuA"
RT @BogochIsaac: How we can focus health inequities exposed by #COVID19 to provide better care to heavily-impacted communities. A good read…
Fucking coronavirus!!! pic.twitter.com/UtmVaS2cfn
