I'm surprised that there's so little apparent concern (based on this survey) over #coronavirus in this survey. @CMichaelGibson @idpharmd
"Institut Pasteur sequences the whole genome of the Wuhan coronavirus, 2019-nCoV https://medicalxpress.com/news/2020-01-pasteur-sequences-genome-wuhan-coronavirus.html … #coronarvirus #CoronavirusOutbreak #genetics @V2019N"
An important point here is that we are seeing cases on the East Coast. #covid19 #covid #coronavirus https://twitter.com/meganranney/status/1234173989167169536 …
The Vatican must make a definitive comment!  Coughing pope cancels participating in Lenten retreat ⁦@Pontifex⁩ ⁦@VaticanNews⁩ #coronavirus #COVID19 #italyhttps://apnews.com/c857823e5212f4da2bf6ed3b451ba3c2 …
