Diagnostic testing for coronavirus ramping up across Australia 
Concerns for at risk kids exacerbated by coronavirus 
"Aboriginal Health #CoronaVirus News Alert No 51 : April 30 #KeepOurMobSafe #OurJobProtectOurMob : First Nations people leading the way in COVID-19 pandemic planning, response and management https://nacchocommunique.com/2020/04/30/aboriginal-health-coronavirus-news-alert-no-51-april-30-keepourmobsafe-ourjobprotectourmob-first-nations-people-leading-the-way-in-covid-19-pandemic-planning-response-and-management/ via @wordpressdotcom"
Aboriginal Health #CoronaVirus News Alert No 50 : April 30 #KeepOurMobSafe #OurJobProtectOurMob : @FPDNAus in partnership with @SydneyHealthLaw and @DisabilityUNSW release 6 key guidelines on providing ethical health care f… https://nacchocommunique.com/2020/04/30/aboriginal-health-coronavirus-news-alert-no-50-april-30-keepourmobsafe-ourjobprotectourmob-covid-19-fpdnaus-in-partnership-with-sydneyhealthlaw-and-disabilityunsw-release-6-key-guidel/ via @wordpressdotcom
Coronavirus is not the villain: Australia’s economy was already on a precipice | Richard Denniss https://www.theguardian.com/commentisfree/2020/mar/04/coronavirus-is-not-the-villain-australias-economy-was-already-on-a-precipice?CMP=share_btn_tw …
Can we blame bats for coronavirus? What about pangolins? https://www.abc.net.au/news/2020-03-19/how-did-coronavirus-start-how-long-will-it-last-google-questions/12068500 … via @ABCNews
The Happy Birthday song becomes a core health message for children in the age of coronavirus https://www.abc.net.au/news/2020-03-19/coronavirus-pandemic-sees-childcare-centres-new-hygiene-rules/12068014 … via @ABCNews
Can we blame bats for coronavirus? What about pangolins? https://www.abc.net.au/news/2020-03-19/how-did-coronavirus-start-how-long-will-it-last-google-questions/12068500 … via @ABCNews
The Happy Birthday song becomes a core health message for children in the age of coronavirus https://www.abc.net.au/news/2020-03-19/coronavirus-pandemic-sees-childcare-centres-new-hygiene-rules/12068014 … via @ABCNews
