"Detailed update on the nCoV Coronavirus by @RodneyRohde 
—
READ: https://www.linkedin.com/pulse/uncoating-novel-ncov-coronavirus-update-dr-rodney-e …
—
#nCoV #Coronavirus #infectionprevention #infectioncontrol #globalhealth #wuhan"
"China says just 30 per cent of small businesses is back to work, with many manufacturers struggling to source labour due to the coronavirus outbreak https://www.scmp.com/economy/china-economy/article/3052307/coronavirus-only-third-chinese-businesses-open-outbreak … via @scmpnews"
"As the president addresses the nation the first unknown origin of #COVID19 is announced in California 
#coronavirus https://twitter.com/John_Hudson/status/1232814289154723841 …"
