"Is Trump a King Cyrus or a Queen Esther? | Israel | @AlJazeera Judging from his COVID19 response, try Caligula "
"Are you an infectious disease researcher? No, it's not killing only immunosuppressed people. The facts about COVID19 are available."
"OMGosh you're so ... obtuse. We voted Trump. He even pee'd next to me once. He's a danger to himself and others, just as your COVID19 facts are."
COVID19 is 45 times more deadly than flu. 2018/2019 flu had 1 death out of every 1800 people infected. COVID19 has 1 death out of every 40 infected. (Approx)
"CT scans may be the fastest way to diagnose coronavirus, study suggests. ⁦@SpeakerPelosi You MUST go to war against Trump COVID19 crimes. ⁦@SenSchumer⁩ @SenSanders⁩ @SenAmyKlobuchar⁩ @SenFeinstein⁩ @PeteButtigieg⁩ @MikeBloomberg"
States can make up their own COVID19 kits and test that way. Let GOP see they back the wrong pony. @GOP
@realDonaldTrump If you screw this up and let Coronavirus get out of control... https://twitter.com/nytimes/status/1231365580093116417 …
