WHO Declares Coronavirus Outbreak A 'Global Pandemic' 
"What % is the fatality rate of #coronavirus 
Flu virus fatality normally 0.02% https://twitter.com/MailOnline/status/1221577191512858625 …"
"Chinese pensioner, 71, is stabbed by girl, 17, amid coronavirus fears https://mol.im/a/8004701  via @MailOnline"
A group of unique bondholders will either reap massive profits or lose hundreds of millions of dollars as the coronavirus outbreak escalates.
Prisoners of the plague cruise: British couple's coronavirus diaries https://mol.im/a/8030583  via @MailOnline
