"No matter how bored I get in quarantine, I will never get coronavirus. #boredinthehouse"
Kinda feeling corona virus would be a blessing right now
I was under the impression that he thought the coronavirus would stay in China. Curious.
"RT @UNESCOchairGHE: We are happy to share some preliminary results of the survey on local, regional and national strategies to #ReopeningSc…"
"RT @peijin_zhang: #Beijing 's largest wholesale food market shutdown after the spike in #COVID19 cases. The city's Fengtai district is in ""…"
RT @EuropeanWomen: Why the #EU gender equality strategy holds the key to an effective feminist #COVID19 response for women and girls @Europ…
"Say what ever you want 
Maybe, for real Now, all the bad shit goes away 
#badluck
#coronavirus_covid19_
#cold
Lets do thishttps://twitter.com/GraysonDolan/status/1237460450486304769 …"
