"THE PLAGUE IS COMING

Japan confirms 1st case of infection with new coronavirus from China https://english.kyodonews.net/news/2020/01/137ca54da06a-urgent-japan-confirms-1st-case-of-infection-with-new-coronavirus-from-china.html …"
Wuhan citizen plainly tells the #coronavirus situation in Wuhan & seeks ... https://youtu.be/7OEqybiGdaA 
"Well Keemy dreamy creamy, how about I give you 12$ to clean yo A$$? I can assure you won't have Corona virus after this."
I don't know why the press is burying the fact that Ozzy Osbourne started the corona virus outbreak.
