This is the country we're trusting for accurate #COVID19 info. 
An epidemic. Y’all worried about the corona virus.
RT @silverbract: #COVID19 Is So Bad in #Arizona They’re Running Out of Beds https://t.co/ccPDCVuyfF
"Please don't spread disinformation when the truth is bad enough. Mexico is approaching its 16,000th covid death, to… https://t.co/BQOVAstwCM"
"Oh sweetie. Your racist-in-chief is hated worldwide, is crashing the stock market, is bungling the coronavirus crisis, is decompensating before our eyes with his bizarre rants, and Dems are turning out in huge numbers which strikes fear in your shriveled heart...as it should. "
"**The West loses the race for  global dominance**

Coronavirus: how Asian countries acted while the west dithered https://www.theguardian.com/world/2020/mar/21/coronavirus-asia-acted-west-dithered-hong-kong-taiwan-europe?CMP=share_btn_tw …"
"**The West loses the race for  global dominance**

Coronavirus: how Asian countries acted while the west dithered https://www.theguardian.com/world/2020/mar/21/coronavirus-asia-acted-west-dithered-hong-kong-taiwan-europe?CMP=share_btn_tw …"
