Florida medical examiners were releasing coronavirus death data. The state made them stop. https://www.tampabay.com/news/health/2020/04/29/florida-medical-examiners-were-releasing-coronavirus-death-data-the-state-made-them-stop/. This is criminal @realDonaldTrump @Mike_Pence @JoeBiden @JoeNBC @morningmika @washingtonpost @nytimes
Worry about the coronavirus mr President these Democrat’s have it under control... you don’t get to choose who you run against DEMOCRAT VOTERS DO!!
Worry about the coronavirus mr President these Democrat’s have it under control... you don’t get to choose who you run against DEMOCRAT VOTERS DO!!
