"also on a serious note, the coronavirus is only dangerous if you are old, under the age of 10, or already have a disease or a weak immune system, the common cold has a higher chance of extincting mankind."
" Three Serie A games in Italy on Sunday, including Inter Milan vs. Sampdoria, have been called off by the government after a coronavirus outbreak in Milan  pic.twitter.com/n3QkLjXut9"
"i’m quite worried for the coronavirus situation, also because I live in Italy, but for now everything is fine and i hope it’ll get better soon "
"i’m quite worried for the coronavirus situation, also because I live in Italy, but for now everything is fine and i hope it’ll get better soon "
