"A Keg, ping pong, 75"" tv, N74, SNES, Ps2, Ps3, Ps4,  fully stocked bar, guns, guitars, and the love of my fish, Fred, is all I need. 
 #coronavirus #covid19 #dallas #familyvalues"
"A Keg, ping pong, 75"" tv, N74, SNES, Ps2, Ps3, Ps4,  fully stocked bar, guns, guitars, and the love of my fish, Fred, is all I need. 
 #coronavirus #covid19 #dallas #familyvalues"
