If not for this CoronaVirus palaver 
"Boris Johnson and the tories are culling the population. 16,000 new cases today and 215 new deaths. Please do not listen to him. #BorisJohnsonMustGo #Boris #BorisHasFailedUK #coronavirus #England #help"
What is this corona virus? 
"(2020.01.30) Here, the risk level has been raised from low to moderate by the UK’s chief medical officers after the World Health Organization declared the coronavirus outbreak a global public health emergency. #BBCNewsTen"
"(2020.01.30) The World Health Organization has declared the coronavirus outbreak in China a global health emergency. At least 170 people have now died and almost 8,000 have been infected. In the next hour, a chartered flight will evacuate 150 Britons from Wuhan. #BBCNewsTen"
@carmindabrendel goes into your latest post around #5G and #COVID19
"Previously:
Spanish flu
Middle East respiratory syndrome-related coronavirus
香港腳 https://twitter.com/TheiKevin/status/1215220431189245953 …"
"Actually it’s a little bit inappropriate to air an ident before a tragedy story. And the coronavirus outbreak, which dominates the headline, is probably from a wildlife called bamboo rat."
"This is why I advocated for a plan from the Minister of Health. I was told repeatedly, “there’s nothing they can do.” Yes there is, instead of sending someone suspected of coronavirus “home” you have a MOH directive to quarantine. So you limit or restrict the spread. https://twitter.com/commonsense_nz/status/1222391606663241730 …"
"If you normally value say a Chinese person, but you have a concern about coronavirus it could be true, but you are probably overreacting. However, if you were in Hong Kong, Singapore or Shanghai, then you would definitely have a valid reason and you are not racist."
"#News Chinese Medics Reportedly Claim That Coronavirus Has Infected 100,000 And China Is Lying https://ift.tt/2GtN94E "
Ooooh I’m sure #BradPitt will #love the matchmaking service just in time for #ValentinesDay2020 BUT a #yacht #cruise during #coronavirus not a good idea!!! #Oscars
"Wow funny how so many channellers have confirmed this new coronavirus was created by AI, given your track record Bill would you like to confess to anything? I’m assuming you don’t stand to profit in any way from this outbreak  oh and just for the record I didn’t kill my self"
"America follows right along with the Rothschild script. 

CDC prepares for possibility coronavirus becomes a pandemic and businesses, schools need to be closed

https://www.cnbc.com/2020/02/21/us-health-officials-prepare-for-coronavirus-outbreak-to-become-pandemic.html …"
"Alabama FEMA facility will be used as coronavirus quarantine center
https://abc3340.com/news/local/anniston-fema-facility-to-be-used-as-coronavirus-quarantine-center …"
"Coronavirus shit. Our extinction event? Thanks to, as usual, the complete disregard to other fellow humans' wellbeing. First symptom is to board on a  plane to infect anyone else in any country."
"The Ticking Coronavirus Time Bomb: America’s Uninsured

https://news.yahoo.com/ticking-coronavirus-time-bomb-america-093741779.html …"
RT @Redpeter99: Johnson hasn't a clue what's going on.  Like showing a chimp the wiring diagram from a Ford Mondeo.
"RT @COVIDNewsByMIB: #IndiaFightsCorona:

📍Can shoes spread the #COVID19 virus❓❓

↗️ The likelihood of #Coronavirus being spread on shoes an…"
RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
RT @ThatTimWalker: Damniing: Johnson disbanded the Cabinet pandemic team six months before #COVID19 hit the UK (to focus on Brexit). https:…
"RT @livemint: India has among the lowest per capita rates of testing in the world and many #covid19 deaths may not be reported 

(@neetu_cs…"
"RT @NavaMohanRao1: Get well soon Afridi.. 
This is not the way, you should not leave without Boom Boom 🔥🔥"
"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…"
"She is right, women will be hit hard by this #Covid19 in fact so far they are the ones that are hit hard"
"RT @UNDP: ""Women &amp; #genderequality must be front &amp; center in order to achieve the #ClimatePromise and #BuildBackBetter from crises such as…"
RT @disclosetv: Footage of the People’s Armed Police marching into #XinFaDi wholesale market in #Beijing earlier today as parts of #China g…
"Delhi Govt, are you listening???"
"RT @WeFightFraud: Programming, coding and computing are great skills to learn.  But only if used safely and legally! #CyberSecurity #hack #…"
The corona virus dodging African Americans like it grew up in Beverly Hills
NHS confirms first coronavirus-related death in the UK https://twitter.com/i/events/1235499666050936832 …
"how to handle coronavirus anxiety 

• take sensible steps to prepare 
• wash your hands frequently 
• take a break from consuming updates
• try not to touch your face as much
• write down your worries 
• go for a walk
• remember you probably won’t die"
"https://youtu.be/pAyKJAtDNCw  Michael Jackson You are not alone.
He is right we are all one to fight this coronavirus and MJ is here with us."
They will contract more than just coronavirus at spring break.
Yes we need to be here and support eachother not only for this coronavirus all the time. In reality we are all children of God. 
"https://youtu.be/pAyKJAtDNCw  Michael Jackson You are not alone.
He is right we are all one to fight this coronavirus and MJ is here with us."
