"Coalition of russian spy, thief-idiot Trump, corrupt GOP and coronavirus killed 61618 Americans. If you do not confront these enemies, then 20 million Americans will be killed according to statistical estimates. #ImpeachTheMF #Impeach45 #ImprisonTrump"
BREAKING: first two cases confirmed of #coronavirus in #Italy
At least its authentic....There was/is #COVID19 fear.... 
Suspected mass grave sites for #coronavirus victims in Northern #Iran. #COVIDー19 #Covid19 #CoronaVirusOutbreak
It's not profiling or stigmatizing if you do rather precautionary and being sensible about it. #covid19 #coronavirusnigeria #COVID19Nigeria
BREAKING: #Iran reports 135 new cases of #coronavirus in the country and 8 new deaths Total number of cases in Iran reach 388 with 34 deaths in Total due to #COVID19
Even as the morning breaks.  I wish y'all  a great morning and Also we ate coming out of this pandemic stronger and… https://t.co/YJ05fLqPUD
RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
RT @INCPunjab: Congress leader Lov Kumar Goldy  from Garhshankar honoured various Corona frontline warriors who are leading the fight again…
"RT @thekorahabraham: #Kerala Covid19 update:

85 new positive cases today.
53 cases from abroad.
18 cases from other states.
10 through con…"
Wait for Bakr-Eid ! U will be ok ! Poor goats
"@lookner this was yestarday Madrid and  today  558 new cases

#Coronavid19 #COVID2019 #CODVID19 #coronavirus pic.twitter.com/QpmwuzUB2W"
