Quit lying and start leading. YOU literally allowed the coronavirus to come the the USA. Trump owns the stock market crash. You have taken credit now the blame. Get busy and quit screwing around.
"This pic looks like a calm lake but things are piling up: late vendor products, potential flooding and coronavirus cited in @Midcontinent filing 
https://bit.ly/39rcQzL  #FCC #CBRS #waiversought #scramblepic.twitter.com/rs8tDLBZTD"
Sherrod Brown explodes in rant slamming Donald Trump and Mitch McConnell's handling of coronavirus https://www.dailykos.com/story/2020/3/18/1928676/-Sherrod-Brown-explodes-in-rant-slamming-Donald-Trump-and-Mitch-McConnell-s-handling-of-coronavirus …
"This is insane!                         Despite coronavirus warnings, people line up at Costco before 3 a.m.  https://twitter.com/i/events/1239969256390811649 …"
Sherrod Brown explodes in rant slamming Donald Trump and Mitch McConnell's handling of coronavirus https://www.dailykos.com/story/2020/3/18/1928676/-Sherrod-Brown-explodes-in-rant-slamming-Donald-Trump-and-Mitch-McConnell-s-handling-of-coronavirus …
"This is insane!                         Despite coronavirus warnings, people line up at Costco before 3 a.m.  https://twitter.com/i/events/1239969256390811649 …"
