 World Health Organization declares coronavirus outbreak a public health emergency 
"Texas Officials Investigating Suspected Case of Coronavirus
https://www.theepochtimes.com/texas-officials-investigating-suspected-case-of-coronavirus_3214031.html …

For the latest US and political news download The Epoch Times app now!https://ept.ms/2mCEjel "
"Ninth US Case of Coronavirus Confirmed in Bay Area, California

https://www.theepochtimes.com/ninth-us-case-of-coronavirus-confirmed-in-bay-area-california_3224768.html …

For the latest US and political news download The Epoch Times app now!https://ept.ms/2mCEjel "
"China finishes construction of makeshift hospital for coronavirus patients, state media reports  https://twitter.com/i/events/1223840131146141696 …"
