I just hope earthquake and coronavirus don't decide to mate
"Darn you coronavirus!
...I mean NVoc2019 or whatever
I mean wuhanvirus
...COVID19?
"
"At the airport 14 people infected coming off the plane, notice the bus...
Same vehicles driving down the road.. theyre people infected with coronavirus definitely pic.twitter.com/ku8pH6SFov"
How did the person that took this video know that this procession was going to go down the street and that it had anything to do with Coronavirus?
"Awww he's so cute. 
... catches coronavirus two weeks later"
