"What's ironic is because of coronavirus this would be an ideal time to invade South Korea, but because of coronavirus it's also the worst time to invade South Korea."
"Starting To Get A Sore Throat, Getting Worried #Covid_19 #Coronavirus"
"Starting To Get A Sore Throat, Getting Worried #Covid_19 #Coronavirus"
