"Bonjour, please find the unroll here: Thread by @DrEricDing: HOLY MOTHER OF GOD - the new coronavirus is a 3.8!!! How bad is that reproductive R0 value? It… https://threadreaderapp.com/thread/1220919589623803905.html …. See you soon. "
"Halo!, you can read it here: Thread by @FinancialTimes: The emergence of the new deadly coronavirus, 2019-nCoV, is having far-reaching ramifications… https://threadreaderapp.com/thread/1221915800270974976.html …. Talk to you soon. "
"Hello, please find the unroll here: Thread by @moldbugman: I was living in China during the SARS times of 2002-3 and due to that experience am less worried about Coronavirus than… https://threadreaderapp.com/thread/1221572793986248705.html …
Share this if you think it's interesting. "
"Hi, please find the unroll here: Thread by @paulmozur: To stop the spread of the coronavirus much of China has effectively shut down. What’s not been… https://threadreaderapp.com/thread/1228751784111271936.html …. See you soon. "
"Hello, please find the unroll here: Thread by @paulmozur: To stop the spread of the coronavirus much of China has effectively shut down. What’s not been… https://threadreaderapp.com/thread/1228751784111271936.html …. Share this if you think it's interesting. "
"Namaste, the unroll you asked for: Thread by @horelick_m: #CORONAVIRUS Dr. Charles Lieber, 60, Chair of the Department of Chemistry and Chemical Biology… https://threadreaderapp.com/thread/1226186257639886850.html …. Talk to you soon. "
"Bonjour, the unroll you asked for: Thread by @Johnheretohelp: As the Coronavirus continues to invade the US and spread very quickly, I would like to… https://threadreaderapp.com/thread/1223720764400193541.html …. See you soon. "
"Hallo, please find the unroll here: Thread by @VictoriaRGates: THREAD! A senior Chinese Military Intelligence Officer who I will call the ""Coronavirus""… https://threadreaderapp.com/thread/1229483784145383425.html …. Enjoy :) "
"Hi!, you can read it here: Thread by @QsentMeToo: *A logical look at the state of the coronavirus & statements from elitist globalists; Bloomberg… https://threadreaderapp.com/thread/1229505928602562561.html …. Talk to you soon. "
"Salam, please find the unroll here: Thread by @SamParkerSenate: 1. Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by… https://threadreaderapp.com/thread/1226311942354042880.html …. Enjoy :) "
"Halo!, there is your unroll: Thread by @SamParkerSenate: 1. Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by… https://threadreaderapp.com/thread/1226311942354042880.html …. Share this if you think it's interesting. "
"Saluti, there is your unroll: Thread by @ewarren: The Trump administration is absolutely bungling the response to coronavirus, putting our public… https://threadreaderapp.com/thread/1232406251340009472.html …. Share this if you think it's interesting. "
"Guten tag, the unroll you asked for: Thread by @MilesMJohnson: Everyone is asking: why are the number of coronavirus cases so much higher in Italy than… https://threadreaderapp.com/thread/1231929900405329920.html …. Share this if you think it's interesting. "
"Halo!, please find the unroll here: Thread by @434Italo: Katholik und Venezianer sein. Das weckt angesichts des nahenden #Coronavirus nicht nur mulmige… https://threadreaderapp.com/thread/1221893599945687040.html …. Have a good day. "
"@aerxilyng Hallo, here is your unroll: @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from… https://t.co/IeE3gopO4L"
"Hello, the unroll you asked for: Thread by @MollyMcKew: Here is a practical preparedness guide for coronavirus. My point in this: crisis comes from… https://threadreaderapp.com/thread/1233840282241839105.html …. Share this if you think it's interesting. "
"Salam, you can read it here: Thread by @aliostad: Coronavirus epidemy in Iran has past the crisis level. The country is imploding - law and order to… https://threadreaderapp.com/thread/1233668766124400640.html …. Talk to you soon. "
"Guten tag, you can read it here: Thread by @leahstokes: Fellow faculty: Just wanted to share what I've done to help students out with the coronavirus in… https://threadreaderapp.com/thread/1234214754714963968.html …. Enjoy :) "
"Saluti, please find the unroll here: Thread by @colleenwilkin: Started an IG post about trauma & the #coronavirus so here it is for your consideration:… https://threadreaderapp.com/thread/1235336240729337856.html …. Talk to you soon. "
"Hello, there is your unroll: Thread by @jennschiffer: huge fan of the coronavirus discourse twitter, pls fl**t the the unroll tweets first i'm… https://threadreaderapp.com/thread/1235351856806846466.html …. Talk to you soon. "
"Hi, please find the unroll here: Thread by @L73622843: How does a search for more info on the corona virus outbreak in the United States lead back to… https://threadreaderapp.com/thread/1234802419483070465.html …. Talk to you soon. "
"Guten tag, you can read it here: Thread by @RARohde: According to the official statistics, the coronavirus epidemic in China has been leveling off with… https://threadreaderapp.com/thread/1235388794976833537.html …. Have a good day. "
"Guten tag, you can read it here: Thread by @nntaleb: Saying the coronavirus panic is dumb is dumb. #PrecautionaryPrinciple #WittgensteinsRuler If the… https://threadreaderapp.com/thread/1236319814576214016.html …. Have a good day. "
"@MintySnacks Hola, please find the unroll here: Thread by @PalliThordarson: 1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most… https://threadreaderapp.com/thread/1236549305189597189.html …. Enjoy :) "
"Halo!, you can read it here: Thread by @PalliThordarson: 1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most… https://threadreaderapp.com/thread/1236549305189597189.html …. Talk to you soon. "
"Hi, there is your unroll: Thread by @unseen1_unseen: Members of the Coronavirus Task Force Hold a Press Briefing via @YouTube now started. Pres.… https://threadreaderapp.com/thread/1239295659871739909.html …. Have a good day. "
"Guten tag, there is your unroll: Thread by @cjtruth: THREAD: Andy Cohen Reveals He Has Tested Positive for Coronavirus (Let’s go down memory lane....)… https://threadreaderapp.com/thread/1241140513597730816.html …. Have a good day. "
"@luketharrison Hello, you can read it here: Thread by @legalhackette: I think I might start a thread cataloguing the impact that #coronavirus is having on the… https://threadreaderapp.com/thread/1239626936357474305.html …. Have a good day. "
"Guten tag, there is your unroll: Thread by @cjtruth: THREAD: Andy Cohen Reveals He Has Tested Positive for Coronavirus (Let’s go down memory lane....)… https://threadreaderapp.com/thread/1241140513597730816.html …. Have a good day. "
"@luketharrison Hello, you can read it here: Thread by @legalhackette: I think I might start a thread cataloguing the impact that #coronavirus is having on the… https://threadreaderapp.com/thread/1239626936357474305.html …. Have a good day. "
"Hi, there is your unroll: Thread by @unseen1_unseen: Members of the Coronavirus Task Force Hold a Press Briefing via @YouTube now started. Pres.… https://threadreaderapp.com/thread/1239295659871739909.html …. Have a good day. "
