NYC shops hit with face mask shortage amid coronavirus fears https://nypost.com/2020/01/24/nyc-shops-hit-with-face-mask-shortage-amid-coronavirus-fears/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypmetro
Coronavirus travel ban: Why experts fear it could backfire - CNN https://www.cnn.com/2020/02/07/health/coronavirus-travel-ban/index.html …
Cats in China are wearing face masks amid coronavirus crisis https://nypost.com/2020/02/13/cats-in-china-are-wearing-face-masks-amid-coronavirus-crisis/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost
Coronavirus: Fake flyers in Los Angeles target Panda Express https://www.bbc.com/news/world-us-canada-51506732 …
"Cruises, air travel expected to take financial hit from coronavirus https://nypost.com/2020/02/12/cruises-air-travel-expected-to-take-financial-hit-from-coronavirus/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost"
Tom Cotton is playing a dangerous game with his coronavirus speculation - CNNPolitics https://www.cnn.com/2020/02/18/politics/tom-cotton-coronavirus/index.html …
Personal Essay: Coronavirus Lockdown Is A 'Living Hell' https://www.npr.org/sections/goatsandsoda/2020/03/03/809965742/personal-essay-from-wuhan-living-in-hell?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social …
Coronavirus fears could bring changes for travelers at Charlotte Douglas Airport https://www.wsoctv.com/news/local/coronavirus-fears-could-bring-changes-travelers-charlotte-douglas-airport/IGEL3R37ERFPDD7ZY7OOU4F6JM/ …
"'Oil price war,' coronavirus could drive gas prices below $2 gallon https://www.usatoday.com/story/money/2020/03/09/gas-prices-oil-prices-coronavirus-crude-oil-petroleum-opec/4998630002/ … via @usatoday"
