New coronavirus looks set to cause a pandemic – how do we control it? 
New coronavirus looks set to cause a pandemic – how do we control it? https://www.newscientist.com/article/2231864-new-coronavirus-looks-set-to-cause-a-pandemic-how-do-we-control-it/ …
"January has been hell.
Guaido showed one more time he is a hypocrite.
Ramos Allup tweeted the truth of his dark soul.
Since the mf coronavirus appeared, I have been coughing. Why? 
"
"#GOP, #Fox News have waged war on science. With #coronavirus, will their aging fans pay the price? Spot on by @Will_Bunch https://www.inquirer.com/health/coronavirus/coronavirus-republicans-denial-fox-news-trump-war-on-science-20200315.html?__vfz=medium%3Dsharebar … @phillyinquirer"
"#GOP, #Fox News have waged war on science. With #coronavirus, will their aging fans pay the price? Spot on by @Will_Bunch https://www.inquirer.com/health/coronavirus/coronavirus-republicans-denial-fox-news-trump-war-on-science-20200315.html?__vfz=medium%3Dsharebar … @phillyinquirer"
