"GD travel NEWS | ASIA - Shanghai Disneyland partially reopens as coronavirus infections slow in China. Some shopping, dining, and recreational activities will reopen in Disneytown, Wishing Star Park and Shanghai Disneyland Hotel with limited capacity and reduced opening hours pic.twitter.com/slPbRdCQ0P"
"GD travel | SPORT NEWS - #coronavirus - The Boston, London and Manchester Marathons have all been postponed until later in the year due to the coronavirus pandemic. #BostonMarathon rescheduled for 14 September, #LondonMarathon and #ManchesterMarathon from April to Octoberpic.twitter.com/R795hsCoUr"
