Tokyo has no 'Plan B' for Olympics despite coronavirus http://bit.ly/394HTBk #olympics #covid19
Japan confirms first case of infection with new China #coronavirus http://bit.ly/2uWaJ7U pic.twitter.com/Lu0ZEK48Lw
Alberta watching as B.C. announced presumptive positive #coronavirus case http://bit.ly/2uHZoIg pic.twitter.com/TASgwfLj9v
"China coronavirus deaths hit 17, heightening global alarm http://bit.ly/2RjamNu pic.twitter.com/XqpMNPXBnl"
#Coronavirus may force Americans to avoid crowds and cancel cruises: U.S. health official http://bit.ly/39xVlhi 
