they’re counting everyone that dies from different causes in their own home as deaths from corona virus
"Some of the people in the replies are dick heads

I'm praying for everyone battling with the Coronavirus https://twitter.com/Crunchyroll/status/1229419765191581696 …"
Only part of London that doesn't have the Corona Virus I'm afraid
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
