"Coronavirus, explained by someone who is quarantined with Covid-19 - http://Vox.com  https://www.vox.com/2020/3/5/21166737/coronavirus-covid-19-diamond-princess-today-explained … via @GoogleNews"
"Tests, doctors in Hazmat suits, lots of Gatorade: A report from inside a coronavirus quarantine - NBC News https://www.nbcnews.com/news/us-news/tests-doctors-hazmat-suits-lots-gatorade-report-inside-coronavirus-quaratine-n1150601 … via @GoogleNews"
President Trump makes spurious claims about coronavirus in phone call with Sean Hannity - The Mercury News https://www.mercurynews.com/president-trump-makes-spurious-claims-about-coronavirus-in-phone-call-with-sean-hannity … via @GoogleNews
"A cruise ship that carried a man who died from coronavirus is held off the California coast with 3,500 people on board - CNN https://www.cnn.com/2020/03/05/health/california-coronavirus-cruise-ship-thursday/index.html … via @GoogleNews"
"The Coronavirus, by the Numbers - The New York Times https://www.nytimes.com/2020/03/05/health/coronavirus-deaths-rates.html … via @GoogleNews"
List Of Disinfectants You Can Use Against Coronavirus - CBS Miami https://www.youtube.com/watch?v=wexxnWsm2wo … via @GoogleNews
"EPA releases list of approved disinfectants to kill coronavirus, and why homemade sanitizer won't work - ABC News https://abcnews.go.com/Politics/epa-releases-list-disinfectant-products-approved-kill-covid/story?id=69412861 … via @GoogleNews"
Live updates: U.S. coronavirus death toll rises to 12; cruise ship passengers tested off California - The Washington Post https://www.washingtonpost.com/world/2020/03/05/coronavirus-live-updates/ … via @GoogleNews
