"I can’t even escape in a game! 
#COVID19
#CoronavirusOutbreak
#coronavirus
#COVID2019
#Covid_19pic.twitter.com/9Xm4zZInyy"
"I can’t even escape in a game! 
#COVID19
#CoronavirusOutbreak
#coronavirus
#COVID2019
#Covid_19pic.twitter.com/9Xm4zZInyy"
