"Most likely a new type of Coronavirus, same family as SARS https://www.scientificamerican.com/article/who-says-mysterious-illness-in-china-likely-being-caused-by-new-virus/?utm_medium=social&utm_content=organic&utm_source=twitter&utm_campaign=SciAm_&sf227767070=1 …"
It’s an epidemic the Corona virus also infects bougie ass people who drink a terrible Mexican beer https://twitter.com/MikeCoppinger/status/1220482740560125952 …
@Timcast here’s a conspiracy theory for you. Compare Google search results for “impeachment” vs “coronavirus.” This could be interpreted as an attempt by the media to divert attention from the massive failure of the impeachment. pic.twitter.com/f666gRkilT
First Wuhan coronavirus patient identified in the United States https://www.chron.com/news/article/First-Wuhan-Coronavirus-Patient-Identified-in-the-14992419.php?cmpid=hpctp&utm_campaign=CMS%20Sharing%20Tools%20(Desktop)&utm_source=t.co&utm_medium=referral … via @houstonchron
RT @SylvesterTurner: We are reopening our state at a fast pace. I agree with Dr. Fauci that we should practice the measures we were doing a…
"RT @DHS_Wolf: .@DHSscitech has produced more groundbreaking research into how #COVID19 spreads, providing a new interactive model that allo…"
"Houston | Rice University asked employees, students to self-quarantine due to possible coronavirus exposure https://www.newsbreakapp.com/n/0OI7Elau?s=a2&pd=02EOW6th …"
Katy ISD Coronavirus Update: The information concerning COVID-19 (coronavirus) is evolving daily.  Visit our page for more info and updates: http://www.katyisd.org/Pages/Coronavirus-Information.aspx …
I give it 2 months before we get tired of coronavirus and move on to something else. That's at most.
"Council on Foreign Relations Cancels ""Doing Business Under Coronavirus"" Rountable Meeting due to Coronavirus. https://www.bloomberg.com/amp/news/articles/2020-03-10/coronavirus-conference-gets-canceled-because-of-coronavirus?__twitter_impression=true …"
Wow! With Arteta testing Positive for #COVID19 fully expect the Premier League to be suspended/cancelled this is crazy! #coronavirus
