"Holy shit, this government is dumb. Coronavirus pa magaadjust next week amp "
"Holy shit, this government is dumb. Coronavirus pa magaadjust next week amp https://twitter.com/cnnphilippines/status/1223007794963476485 …"
"Actually eating the food I have in the fridge, instead of wasting it and eating out #coronavirus"
