Man 2 people at my job got home quarantine cuz they got coronavirus
#riots2020 #MSNBC #coronavirus #MinneapolisRiot #qanon now it’s a crime to be white . #LiberalismIsAMentalDisorder
"Aye bruh this dood heard about how “Clorox disinfecting wipes”can kill the coronavirus , and .... "
Hope he doesn’t have Corona virus
"True Trump does manipulate people. What President has not done that to some point? Pence the scapegoat on the Coronavirus. I hope not. I didn't know  anything about Pence, until after I did research on him. 
If Trump replaces Pence. Then the glass will only be half full."
