How AI is battling the coronavirus outbreak #artificialintelligence #AI
"NON-SUDDEN NEWS
               சடுதி-இல் செய்திகள்
                          -----------------
A contagious decease, caused by a type of CORONA VIRUS( which initiated SARS in 2002/03 & took more than 800 lives... https://www.facebook.com/100003160367222/posts/2617982184983768/ …"
"The complete annotated genome sequence of the novel #coronavirus associated with the outbreak of pneumonia in Wuhan, China is now available on #openaccess repository GenBankhttps://ncbiinsights.ncbi.nlm.nih.gov/2020/01/13/novel-coronavirus/ …"
