"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"In my emails rn:
Davids Tea: corona virus message
Pandora: corona cirus message
Indigo: corona virus message
Cineplex: corona virus message
East side marios: corona virus message
Boathouse: FRIDAY THE 13TH!!  TIME FOR A SALE!! "
