"Coronavirus: A&E worker one of eight Brits diagnosed with deadly bug

 https://www.mirror.co.uk/news/uk-news/breaking-coronavirus-ae-worker-one-21478984.amp?__twitter_impression=true …"
Coronavirus: NHS will get 'whatever it needs' to fight outbreak of COVID-19 https://news.sky.com/story/coronavirus-nhs-will-get-whatever-it-needs-to-fight-outbreak-11952565 …
"Schengen crisis: Macron urges EU to tighten border controls in coronavirus battle

Might have worked a month ago. Wake up, it's arrived.......

 http://shr.gs/MWedowi "
