"Three U.S. #Airports to Screen Passengers for Chinese #Coronavirus
#CDC
https://nyti.ms/2G0j1Os "
"Buffon in coronavirus controversy

Juventus star Gigi Buffon caused controversy when greeting a Chinese fan after the Coppa Italia semi-final with Milan and joking about the coronavirus.
[football-italia] 
#SerieA"
"RT @UttarandhraNow: First #Covid19 positive case in #Mandasa.
#Srikakulam #Uttarandhra https://t.co/csL9vZ7Qru"
Get well soom BOOM
"RT @TeamPowerSena: They fight elections and we fight Pandemics.

High time people realize the importance of their votes. Crisis Management…"
