Do you suppose they are testing a lot of dead people who showed no symptoms at all of Coronavirus?
Just Spit and Wait: New Coronavirus Test Offers Advantages 
SARS infected 8096 globally in 2002-3. #ChinaCoronaVirus has passed that at 9000. #coronavirus #china
"213 dead, Cases at 9000. The #china #coronavirus is really fitting as a Global health emergency."
Second case of coronavirus confirmed in Qld as WHO declares global emerg... https://youtu.be/q0czg5ZEb_w via @YouTube
"Amid the threats of cancelling the 2020 Tokyo Summer Olympics due to the #coronavirus scare, Tokyo Olympics qualifier EJ Obiena who is training in Formia, Italy talks about the COVID-19 outbreak in Italy and his preparations for the upcoming Olympics. #COVID19 #coronavirus"
New SARS like #coronavirus originating in #Wuhan has high mutation rate & can rapidly develop resistance to new drugs #pandemic #crisismanagement
U.S. to screen passengers for new China coronavirus at three airports https://flip.it/c34MrY 
Why tracing the animal source of coronavirus matters https://flip.it/VI5uWb 
"@SCMPNews reports #coronarvirus deaths now at 80. That makes fatality rate at around 5%? And if so, the Corona virus is a bit more potent than regular flu. Respect it. pic.twitter.com/x2jXgDXTMO"
Coronavirus: How does this outbreak end? https://flip.it/rn-OfB 
NYT: Xi Jinping ordered action on coronavirus earlier than previously reported - Axios https://flip.it/e5Dj9Y 
"Coronavirus Spreads, and the World Pays for China’s Dictatorship https://flip.it/hGE.jY "
"Welcome to coronavirus my friend.
Stay care, hug from Italy "
