Public Anger Swells in South Korea Over Coronavirus Outbreak @Diplomat_APAC https://thediplomat.com/2020/02/public-anger-swells-in-south-korea-over-coronavirus-outbreak/ …
China. Trip to Infected Zone. What's Fake and Truth about Coronavirus // How People Live(2020) https://youtu.be/A1yXTlvTB08  via @YouTube
"Homeless people on street in China in time of corona virus lockdown

28-Feb 2020
https://youtu.be/gErwW5wbDRU "
"Medcram
Corona virus update
#29 

https://youtu.be/XjEacUyp4vY "
