Coronavirus declared global health emergency by World Health Organization https://abcnews.go.com/Health/world-health-organization-decide-coronavirus-global-health-emergency/story?id=68639487 #SmartNews
A GOP senator keeps pushing a thoroughly debunked theory that the Wuhan coronavirus is a leaked Chinese biological weapon gone wrong https://www.businessinsider.com/coronavirus-bioweapon-tom-cotton-conspiracy-theory-china-warfare-leak-2020-2 … #SmartNews
BREAKING: Trump called Gov Inslee “a snake.” Says he told Pence to “not be nice to him.” He’s “not a good Governor.”  Says “he’s no good. That’s the way I feel. Good luck to CNN. This is Trump at CDC. Attacking a Governor whose state is hit with coronavirus. Fuck @realDonaldTrump
‘I’m Now Nervous’: CNBC’s Jim Cramer Predicts Fed’s Drastic Rate Cut Will Stoke Investor ‘Fear’ Over Coronavirus https://www.mediaite.com/news/im-now-nervous-cnbcs-jim-cramer-predicts-feds-drastic-rate-cut-will-stoke-investor-fear-over-coronavirus/ … #SmartNews
Trump’s Pentagon chief ordered military to not contradict president’s ‘messaging’ during coronavirus response https://www.rawstory.com/2020/03/trumps-pentagon-chief-ordered-military-to-not-contradict-presidents-messaging-during-coronavirus-response/ … #SmartNews
