"CDC Says Coronavirus Could Infect 40-70% of Global Population 
- Common Dreams https://www.commondreams.org/news/2020/02/25/cdc-says-americans-should-brace-significant-disruptions-amid-warnings-coronavirus …"
"Oh my!!!
I certainly hope Pence doesn’t give it to Turnip.
That would be a shame. 
(Feign shock & horror.)

Member of Pence's staff tests positive for coronavirus 
- Axios https://www.axios.com/mike-pence-coronavirus-office-2025be25-e4f6-443f-83c2-bdc9d15ab9d5.html?stream=politics&utm_source=alert&utm_medium=email&utm_campaign=alerts_politics …"
"Oh my!!!
I certainly hope Pence doesn’t give it to Turnip.
That would be a shame. 
(Feign shock & horror.)

Member of Pence's staff tests positive for coronavirus 
- Axios https://www.axios.com/mike-pence-coronavirus-office-2025be25-e4f6-443f-83c2-bdc9d15ab9d5.html?stream=politics&utm_source=alert&utm_medium=email&utm_campaign=alerts_politics …"
