"RT @TheDemocrats: There are over 2,000,000 confirmed #COVID19 cases, over 112,000 dead, and 21 million unemployed. Trump’s failure to respo…"
SPI gonna be a coronavirus breeding ground this spring break
"Forget the stupid coronavirus, are all my friends that are Texans fans okay?? Y’all’s Coach is the biggest idiot"
I can’t believe this is happening right now. #Coronavirus
"Forget the stupid coronavirus, are all my friends that are Texans fans okay?? Y’all’s Coach is the biggest idiot"
I can’t believe this is happening right now. #Coronavirus
