"CHINA SAYS 1,527 CORONAVIRUS CASES SEVERE, REPORTS 213 DEATHS"
"China’s Hubei province reports 42 additional deaths from the novel coronavirus for Jan. 30, bringing the total nationwide death to at least 212, according to a statement from the Health Commission of Hubei Province. "
"1,220 new confirmed coronavirus cases have been reported in China over the last 24-hour period "
UMass Boston student first confirmed case of coronavirus in Massachusetts https://www.bostonherald.com/2020/02/01/first-case-of-coronavirus-confirmed-in-massachusetts-dph/ …
"Community officers around China beat dogs to death to stop coronavirus https://mol.im/a/7996217 
"
Coronavirus: Macau will give residents 2.2 billion patacas worth of vouchers to boost economy once outbreak is over https://www.scmp.com/news/hong-kong/politics/article/3050557/coronavirus-macau-will-give-residents-22-billion-patacas …
Italy’s Prime Minister Giuseppe Conte said he’ll ban travel to and from the areas of the country which have been affected by the coronavirus outbreak as the number of cases surged to 76.
So our boy Trump gave an address on how to tackle the coronavirus ... I’d be very skeptical ... “I know more coronavirus than anyone else”. Orange clown man.
"@SoniaMcEntee @Orlaodo As @CMOIreland has said many times, it’s not going to be one element of public health advice… https://t.co/rmEzbG42NG"
"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
"RT @Justice_4Vizag: Good Move By @ysjagan Govt 👏

#APSRTC Modifying Old Buses Into Cargo Carriers 

APSRTC Focusing On Logistics Business T…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
