"RT @American_Heart: Dr. Tomisaku Kawasaki, a pediatrician who discovered the rare inflammatory disease that now bears his name, died in Jap…"
"RT @g20org: As the world moves forward, the #G20SaudiArabia Presidency holds a virtual workshop on the implications of #COVID19 on global s…"
RT @RawyaRageh: Wow. Senior #Huthi official tells @BBCArabic: “Revealing or hiding the number of those infected does not lessen or accelera…
"Coronavirus test developed by New York state lab approved by FDA, a Washington Post update, 2-29-20   New York Gov. Andrew M. Cuomo said Saturday that the Food and Drug Administration has approved a test for New York state’s health laboratories to use to detect the coronavirus."
"Coronavirus test developed by New York state lab approved by FDA, a Washington Post update, 2-29-20   New York Gov. Andrew M. Cuomo said Saturday that the Food and Drug Administration has approved a test for New York state’s health laboratories to use to detect the coronavirus."
"Ministry of Health reports new case of Coronavirus.

http://www.spa.gov.sa/2045336 
#SPAGOV"
