Some days it just feels like the Gal Gadot Imagine video won't cure coronavirus at all
"Elon Musk taking a moment of the earnings call to unleash his take on anti-coronavirus measures: “To say they cannot leave their house, and that they will be arrested if they do – this is fascist ... Give people back their god damn freedom.”"
"NY Patch Coronavirus Survey: Cuomo Lauded, Trump Condemned http://dlvr.it/RVjk7r"
U.S. coronavirus updates 
"NY Patch Coronavirus Survey: Cuomo Lauded, Trump Condemned http://dlvr.it/RVjhG1"
"NY Patch Coronavirus Survey: Cuomo Lauded, Trump Condemned http://dlvr.it/RVjhFq"
Organizers are trying to figure out how to let the tennis tournament go ahead amid the coronavirus crisis. https://trib.al/wqdkX06
Organizers are trying to figure out how to let the tennis tournament go ahead amid the coronavirus crisis. https://trib.al/RoGGfvy
Organizers are trying to figure out how to let the tennis tournament go ahead amid the coronavirus crisis. https://trib.al/Gi6wYDs
Organizers are trying to figure out how to let the tennis tournament go ahead amid the coronavirus crisis. https://trib.al/BXm1ov1
CDC to resume regular coronavirus briefings after being sidelined by White House 
Ya let Corona virus kill thousands of black people George Floyd’s life was that one Too Many ...
Don the Con emboldened racists. Don the Con lied about Coronavirus. Don the Con’s negligence KILLED 100k Americans. America is a very sad place! #TrumpResignNow
"The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/QNPAkwW"
"Gov. Andrew Cuomo speaks out about ""inequality in healthcare"" and announces 10 new testing sites across coronavirus hotspots in New York. https://trib.al/sGr0aBW"
"The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/DKIQM77"
"Gov. Andrew Cuomo speaks out about ""inequality in healthcare"" and announces 10 new testing sites across coronavirus hotspots in New York. https://trib.al/jQUwqp7"
"The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/sKlVuDO"
"The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/O0jvdcD"
"Gov. Andrew Cuomo speaks out about ""inequality in healthcare"" and announces 10 new testing sites across coronavirus hotspots in New York. https://trib.al/ZHuwwY2"
"Gov. Andrew Cuomo speaks out about ""inequality in healthcare"" and announces 10 new testing sites across coronavirus hotspots in New York. https://trib.al/vaIZsvD"
"Gov. Andrew Cuomo speaks out about ""inequality in healthcare"" and announces 10 new testing sites across coronavirus hotspots in New York. https://trib.al/FTqQqcr"
Guest At Packed Memorial Day Weekend Pool Party Tests Positive For Coronavirus 
