"Timeline of the Coronavirus Pandemic and U.S. Response. Updated: Tuesday, April 28, 2020 "
"Eight signs that the body has fought the coronavirus on its own, without you being aware of it "
Coronavirus? Havent heard of her
COVID-19: Health experts in Minnesota worry about a spike in cases as large protests continue #Coronavirus 
...The Coronavirus has damaged the Country.. this is not Trump’s fault! This corrupt cop killing a black man is not Trump’s fault! Saying Trump’s to blame is ridiculous n everyone knows it! He’ll work hard to get America back on track.. n he will succeed...
