A #new #Social #contract What if essential workers staged a mass coronavirus strike? 
"THE BAD NEWS: Dr. Fauci Says ""It's Inevitable"" the Coronavirus Will Return - THE GOOD NEWS: He's Wrong About Most Everything (VIDEO) https://www.thegatewaypundit.com/2020/04/bad-news-dr-fauci-says-inevitable-coronavirus-will-return-good-news-wrong-everything-video/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit"
American Farmer Sends Dire Warning In Viral Video: “Our Food Supply Is In Trouble” Because Of Coronavirus Lockdowns https://www.thegatewaypundit.com/2020/04/american-farmer-sends-dire-warning-viral-video-food-supply-trouble-coronavirus-lockdowns/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit
Media Ignores Cuomo Putting Coronavirus Patients In Nursing Homes 
More American’s have died from the #coronavirus than died fighting in the Vietnam War... 
"ZDNet: CERN throws 10,000 CPU cores at Folding@home coronavirus simulation project. https://www.zdnet.com/article/cern-throws-10000-cpu-cores-at-foldinghome-coronavirus-simulation-project/ via @GoogleNews"
'Charmed' Star Rips 'Disgrace' Donald Trump Over Grandfather's Death From Coronavirus 
I see they found a miracle cure for the coronavirus.
In this book you will find everything that is known so far about the coronavirus. #coronavirus 
I guess we basically just said FU to the coronavirus and started fighting for our rights when we should of already had them
The coronavirus pandemic has ripped open the wounds of all kinds of injustices against African Americans and other people of color for every eye to see! Justice must become the new normal!
REMEMBER CORONAVIRUS COVID-19 STILL A DEADLY THREAT 
COVID-19: Scientists warn against premature easing of UK lockdown #Coronavirus 
The latest COVID-19 Daily News! http://covid-19dailynews.com/?edition_id=515a6090-a2b1-11ea-9cc6-0cc47a0d164b Thanks to @NicoleL05132000 @antarcticlion @sites4good #covid19 #coronavirus
"So, what you’re saying is, Cuomo is guilty of murder for allowing people with Coronavirus into nursing homes."
Notice how the liberals don’t care about the corona virus anymore? Must not be as bad as the media though..
Notice how no one cares about the corona virus anymore? #media
"The experts on TV tell us everything except what we want to know: how the coronavirus began, where it is headed, and when it will end, writes Joseph Epstein "
