80% of inmates at this prison in Ohio are infected with #coronavirus . 
Did the Eagles draft QB Jalen Hurts because of coronavirus? http://dlvr.it/RVjmz6
"Demonize the protestors, get them sick with #coronavirus, watch the cities burn as many die, consolidate power, get reelected, fascist America is permanent."
"Since the rioters and looters seem to be ignoring social distancing guidelines, I’d say we get back to being on the baseball field. #LetsGo It’s almost as if the Coronavirus has disappeared. "
Me watching everyone protest in Harlem knowing the coronavirus is still going on #BlacklivesMaters #brooklynprotest #newyorkprotest
"Indeed, #SARSCoV2 shedding lasts longer in patients with severe #COVID19 disease https://www.bmj.com/content/369/bmj.m1443 via @bmj_latest And #PCR and #coronavirus #infectivity seem to be closely linked https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7185831/pdf/10096_2020_Article_3913.pdf via @ESCMID https://twitter.com/SeanLucan/status/1266831391616045056"
