Astros prevent World Series ring from being auctioned for charity to aid coronavirus relief effort https://www.cbssports.com/mlb/news/astros-prevent-world-series-ring-from-being-auctioned-for-charity-to-aid-coronavirus-relief-effort/ #sports #feedly
The Latest Indulgence in Hip-Hop Videos? Coronavirus Protection https://www.nytimes.com/2020/04/28/arts/music/coronavirus-rap-videos.html #mustread #feedly
Florida governor excludes greater Miami from initial coronavirus reopening https://www.reuters.com/article/us-health-coronavirus-usa/florida-governor-excludes-greater-miami-from-initial-coronavirus-reopening-idUSKBN22B23C?feedType=RSS&amp;feedName=topNews #mustread #feedly
"Astros block auction of 2017 World Series ring, despite proceeds going toward coronavirus causes https://ca.sports.yahoo.com/news/houston-astros-world-series-ring-auction-charity-mlb-210100234.html?src=rss #sports #feedly"
"Coronavirus In L.A. County: New Cases Jump By Nearly 1,000; Scary Picture Seen If Social Distancing Is Abandoned https://ca.sports.yahoo.com/news/coronavirus-l-county-cases-jump-205711996.html?src=rss #sports #feedly"
Megan Thee Stallion Enlists Beyoncé for ‘Savage’ Remix to Benefit Houston Coronavirus Relief https://ca.sports.yahoo.com/news/megan-thee-stallion-enlists-beyonc-210352732.html?src=rss #sports #feedly
"Baseball Hall of Fame cancels July inductions due to coronavirus; Jeter, Walker, Simmons, Miller to be honored in 2021 https://www.foxsports.com/mlb/story/baseball-hall-of-fame-cancels-july-inductions-due-to-coronavirus-jeter-walker-simmons-miller-to-be-honored-in-2021-042920 #sports #feedly"
