"South Carolina has largely been spared by Coronavirus, but 61,000 Americans are dead. Trump spent several weeks calling it a hoax. On a scale of 1-10, with 10 being best, how would you rate @realDonaldTrump 's handling of coronavirus."
"14% unemployment (the U6 number is probably much higher). 23 million people out of work. 102,000 Americans dead from Coronavirus, but I guess if your properties are doing well, that's all that matters. You are a FAILURE!!"
