Russia’s coronavirus outbreak is getting bad. Putin says the worst is yet to come. 
Fauci says coronavirus comprehensive U.S. testing is still a month away - The Washington Post 
"Coronavirus: Public trusts Fauci over governors or Trump, survey says "
Trump Caught In Another Huge Lie About Coronavirus Tests 
Chinese State Media Says Trump 'Feels No Guilt' Over U.S. Coronavirus Crisis and Has 'Failed' Americans 
'Charmed' Star Rips 'Disgrace' Donald Trump Over Grandfather's Death From Coronavirus | HuffPost 
One in seven Americans 'would not seek medical care for coronavirus symptoms' due to fear of cost | The Independent 
"Trump reportedly briefed on coronavirus threat repeatedly in January, February, but ignored it "
Jared Kushner’s “princely arrogance” set back the coronavirus response by weeks: report | http://Salon.com
Did he ever apologize for saying the media wasn’t going to apologize when coronavirus deaths was going to turn out to be less than a thousand?
"Here's why you're so exhausted, despite doing less during the coronavirus pandemic — and how to feel better Advice from @YaleMed prof. and stress expert Rajita Sinha"
.@RonDeSantisFL is a demagogue. He’s put his political ambitions ahead of the safety of residents of #Florida. Hysteria Governor? Really? More dead than from the Vietnam War. You are a disgrace. #coronavirus
"“... as the country marks 100,000 deaths from the coronavirus pandemic, the former British colony finds itself in a downward spiral of ethnic violence.” "
About 75% of Trump’s proposed coronavirus capital gains tax cut would go to the top 1% of earners | http://Salon.com
Actor hit by car/ Restaurant owner makes creative proposal/ Troconis speaks out/ Grocery store worker dies of coronavirus: Month In Review https://trib.al/bNu5iBa
