Florida medical examiners were releasing coronavirus death data. The state made them stop 
"Corona Virus testing is FREE. If it is NOT Free in your area, you may have been misdirected in locating a real testing site, or there is possible FRAUD where 'testing' is happening. Look 4 your STATE Health Dept 'Testing Sites' from Gov website on Corona https://www.cdc.gov/publichealthgateway/healthdirectories/healthdepartments.html"
"Good grief. Rally opposing coronavirus restrictions draws activists, militia leaders to eastern Oregon "
This is his path to re-election. Destruction of our cities under the guise of calls for justice will erase his missteps with the #coronavirus.
