Love her! Michelle Obama records call telling DC residents about free coronavirus testing 
"The backlash over fumbled coronavirus stimulus is starting, and it’s all on Trump https://dailysoundandfury.com/the-backlash-over-fumbled-coronavirus-stimulus-is-starting-and-its-all-on-trump/ via @dailysoundnfury"
So cops without coronavirus symptoms have access to tests but not the prisoners confined in close quarters?! The police lobby is shameless y’all
That's nice but I think they are a bit busy as they fight the corona virus pandemic
Funny how this police lobbyist has so much experience with coronavirus issues in institutional settings but refuses to advance even a *DISCUSSION* about prison populations.
Is Xanax The Next Coronavirus “Cure”? 
STAYING AT HOME DURING CORONAVIRUS 
Can you contract coronavirus from a surface or object? : The CDC says that it may… https://goo.gl/fb/jDr5CM #health
"As US deaths top 100,000, Trump's coronavirus task force is curtailed "
#TrumpLiarLiarLiar Breaking down Trump's 654 false claims during the coronavirus pandemic 
"In the midst of the coronavirus lockdown, digital transformation is a necessity now more than ever. "
Coronavirus virtually halted homeless services at Las Vegas’ shelter https://lvrj.com/post/2038756 via @reviewjournal
"There’s coronavirus, there’s riots, and then there’s this! We have liftoff! Amazing! #DougHurley #BobBehnken #SpaceX #SpaceLaunchLIVE #ElonMusk #crewdragon #NASA"
