Government prepares to ease #coronavirus curbs 
Rwandan medical workers deploy robots to minimise coronavirus risk 
Parks of Paris reopen after a lengthy break due to coronavirus shutdown 
People need to adapt to new situation as vaccine eludes #Covid_19 #YourSafetyIsMySafety #coronavirus #Qatar #forqatarstayhome
#India posts record jump in #coronavirus cases 
Recovered Qataris laud high-quality care #YourSafetyIsMySafety #coronavirus #covid_19 #Qatar #HMC
#HMC provides advice to students sitting for exams #YourSafetyIsMySafety #coronavirus #covid_19 #Qatar
Earlier circulars on weekend closure still applicable: #MoCI #YourSafetyIsMySafety #coronavirus #covid_19 #Qatar #forqatarstayhome
