"Coronavirus may lurk deep in lungs after patients recover, study suggests "
"Coronavirus: gift bags, TV shows for little patients at Hong Kong Children’s Hospital as social worker visits remain cancelled amid pandemic "
"Coronavirus: gift bags, TV shows for little patients at Hong Kong Children’s Hospital as social worker visits remain cancelled amid pandemic https://www.scmp.com/news/hong-kong/health-environment/article/3082122/coronavirus-gift-bags-tv-shows-little-patients?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1588204637"
US expected to approve use of remdesivir to treat coronavirus patients https://www.scmp.com/news/world/united-states-canada/article/3082225/coronavirus-gilead-says-experimental-drug?utm_source=Twitter&amp;utm_medium=share_widget&amp;utm_campaign=3082225 via @scmpnews
Coronavirus ‘may lurk deep in lungs after patients recover’ https://www.scmp.com/news/china/society/article/3082200/coronavirus-may-lurk-deep-lungs-after-patients-recover-study?utm_source=Twitter&amp;utm_medium=share_widget&amp;utm_campaign=3082200 via @scmpnews
Coronavirus should drive businesses to unleash the full value of women’s talent 
"After the coronavirus pandemic, the world can’t go back to business as usual #hongkong #covid19 #ClimateCrisis"
Coronavirus: ‘China is not the enemy of the United States' - BBC News 
How to read this chart of coronavirus cases by country explaining nicely the effects showing logarithmic vs linear scale. https://www.facebook.com/Vox/videos/252786805868793/
"Spain seeks refund for defective #coronavirus tests, after replacement kits also prove faulty. Health Ministry has cancelled the order of antigen kits frm #China, after already sending back a first batch. #ChinaLiedPeopleDied via @elpaisinenglish"
"With many things to remember, take a moment and recall that those suffering coronavirus symptoms are especially careful with making sure your fridge is clean. Find out more at .@CDCgov"
The Philippine peso hasn't weakened in the face of the coronavirus — and that's posing a risk to the country's economy https://www.bloomberg.com/news/articles/2020-04-29/philippine-peso-remains-resilient-when-economy-needs-it-weak?sref=aXnEdUEz via @markets
"""The coronavirus is not unlike the Y2K bug—a real but invisible risk ... I cannot read about the losses that never occurred, because they were averted."" "
"https://youtu.be/WHsGO8a8WOE This is disgusting. They go everywhere, blaming ppl of racism whenever they don’t get what they want. Even “Wuhan Coronavirus” can “hurt their feelings” and need to be changed to “COVID-19. &amp; see how they treat black ppl. #DNSL #China #Racism #CCPVirus"
"Buddhistdoor Global #View: ""The Astonishing and Fleeting Opportunity of This Moment"" In a world of upheaval, our moral intuitions must be engaged. #coronavirus #compassion #Shantideva #ethics Read more: https://www.buddhistdoor.net/features/the-astonishing-and-fleeting-opportunity-of-this-moment"
"Global trade impact of the Coronavirus Crude Oil Carriers Market 2020: Current Trends, Rising Demand, Key Statistics, Development Status, Regional Outlook, Key Benefits, Industry Analysis, Business Outlook, to 2027 - News Distinct https://www.newsdistinct.com/global-trade-impact-of-the-coronavirus-crude-oil-carriers-market-2020-current-trends-rising-demand-key-statistics-development-status-regional-outlook-key-benefits-industry-analysis-business-o-2/"
"Great taste and safe food go hand in hand, it pays to remember that those suffering coronavirus symptoms are especially careful with keeping kitchen appliances clean to stop cross-contamination. Find out more at .@foodsafetygov"
Coronavirus latest: Trump faces backlash over WHO exit; Russia set to begin vaccine trial 
