How Trump is exploiting the coronavirus chaos to hoard power and benefit personally - 
Australia coronavirus live updates: report shows Ruby Princess was ‘ground zero’ for Tasmania outbreak – latest news 
Coronavirus live news: more cases of ‘Covid-linked’ syndrome in children as UK deaths top Spain and France 
Trump offers rosy predictions for coronavirus testing as US passes 1m cases 
"Members, staff in the dark about prevalence of Capitol Hill coronavirus cases "
"Coronavirus US live: Trump says distancing guidelines will 'fade out' as US deaths pass 60,000 "
Man Just Buying One Of Every Cleaning Product In Case Trump Announces It’s Coronavirus Cure 
Man Just Buying One Of Every Cleaning Product In Case Trump Announces It’s Coronavirus Cure 
Cyberscammers: Pay Up or We’ll Infect Your Family With Coronavirus https://www.thedailybeast.com/new-coronavirus-scam-threatenspay-up-or-well-infect-your-family-with-covid-19?source=twitter&amp;via=desktop via @thedailybeast
