Coronavirus outbreaks at nursing homes throughout DC region could hinder reopening strategies 
Coronavirus Causes Delay in EPA’s “Blending” Rule for Managing Wastewater 
Mike Pompeo back Australia’s call for inquiry into origins of coronavirus in China #auspol
" BREAKING NEWS Trump is insane he threatens no coronavirus aid, as Americans are dying, in states with sanctuary cities #25AmendmentNow #TrumpKillsAmericans #TrumpMustResign ⁦@SpeakerPelosi⁩ ⁦@NYGovCuomo⁩ ⁦@RepJerryNadler⁩"
"While we're at home, wildlife enjoy the great outdoors during coronavirus pandemic "
"Coronavirus Chronicles... juntos together, we are in this journey, like always together, with all our weak time and our strong time, juntos!!! #washingtonians #coronaviruschronicles #quarentine #besafe #therapy… https://www.instagram.com/p/B_lRibHB1Zh/?igshid=bke0heybw41i"
Many laid-off US workers due to coronavirus might make more money with unemployment benefits 
People can only be important to Trump when they play a role in his politics of insanity. For Trump and his son in-law to be giving victory laps about how they have been a success with coronavirus when over a million Americans are infected with COVID-19 and
"Vincent Imhoff and Shannon Leis of Imhoff & Associates, Examine Coronavirus Wreaking Havoc on Criminal Justice System "
"Prisons’ Deplorable Response to Coronavirus Laid Bare in Shocking Report “Releasing prisoners doesn’t cost any money; it’s the cheapest thing they could do. But the priority isn’t people’s safety; it’s a punishment-oriented judicial system."" https://iranwire.com/en/features/6968 #IranWire"
"In interview with @PoliticoRyan, Swedish leader defends coronavirus approach, shrugs off far-right embrace https://politi.co/2YcLxGO via @politico"
"""We have a generation of humpbacks that have never known a quiet ocean."" How whales and other marine life are responding to noise reduction during the #coronavirus lockdown. "
Since Fla governor blamed Communist Party of China for coronavirus thought might be good to remind of Sunshine State trade with “communists” https://www.enterpriseflorida.com/wp-content/uploads/profile-fl-top-trade-partners-china.pdf
"Looking forward to my dog doing this: “dogs are able to sniff out malaria, cancers and even a bacterium ravaging Florida’s citrus groves.” #coronavirus "
Coronavirus: Why so many US healthcare workers are out of work 
"Weeks of spouting Fox talking points, saying its your fault if you have Coronavirus bc you are fat and unhealthy and last night talking about the riots a if you just didn't understand get it. Its time for so called ""liberal woke"" white people to stop profiting from black issues."
Coronavirus: Biden and Trump face off over China 
The Philippines changes how it's reporting coronavirus infections as daily cases hit a new record high https://trib.al/tvzO55L @business
Do-Nothing Trump demands Rep convention ‘with no masks or social distancing’ despite coronavirus pandemic. @realDonaldTrump has no problem infecting #MAGA voters.
"Here are the latest coronavirus case totals reported this morning in DC, Maryland and Virginia: "
In 20 minutes ‘State of Emergency’. Our latest documentary on #coronavirus. This one is in #NewYork. Via @cgtnamerica @CGTNOfficial.
India: Five Delhi hotels to function as #coronavirus quarantine centers https://www.ndtv.com/delhi-news/coronavirus-2-more-delhi-government-hospitals-to-treat-covid-19-patients-2237535 @@ndtv
Maryland's coronavirus positivity rate drops to lowest point since March http://tinyurl.com/ya2rr4h9
Technology and social media have allowed for better coordination of charitable efforts and volunteer work amid the coronavirus outbreak. 
This Is How Coronavirus Is Already Affecting The Gender Pay Gap https://www.refinery29.com/en-gb/story?utm_source=twitter via @refinery29uk
