"Patch Survey: Cuomo Lauded, Trump Condemned​ | Coronavirus Latest "
How coronavirus cases have spread (including China) https://public.flourish.studio/visualisation/1539110/embed?auto=1 Really cool rapid chart..shows how dangerous this disease is..
"""FDA in ‘ongoing’ talks with Gilead to make remdesivir available to coronavirus patients ‘as quickly as possible’"" "
Today felt so scary at #Oncology... with the #coronavirus procedures being done before entering the building.. I understand it has to be done. It just felt very lonely.. #Leukemia
Did @SpeakerPelosi cancel her session for another month due to Coronavirus concerns or so that her members can fundraise or participate in the mayhem? We have two national emergencies. Congress should be at work. Essential workers!
"If Coronavirus cases in Minnesota don’t go up, you’ll know that shit was a lie"
Supreme Court Rejects Church's Challenge To California's Coronavirus Rules 
