"US surpasses 60,000 deaths due to coronavirus - "
Coronavirus News: Chinese-American physicians in New Jersey donate to COVID-19 fight https://abc7ny.com/health/chinese-american-physicians-in-nj-donate-to-covid-19-fight/6137898/ via @ABC7NY
"Cattle industry expected to lose billions amid coronavirus pandemic: 'We are suffering right now' | Fox News https://www.foxnews.com/us/coronavirus-cattle-industry-may-lose-billions-covid19, there are stockpiles of frozen Beef, Chicken, and Pork, there is also stockpiles of canned meats, fish and pork."
The Fox audience seems to be the Coronavirus target audience. I wonder why? Maybe the bleach and the Hydorclorobullshitstory will slow down the spread amongst the cult members.
Coronavirus NYC: NYPD at Brooklyn funeral home after neighbors complain of foul odor - ABC7 New York 
Is anyone else wondering what happens if someone (or a few people) in these large groups of protestors has Coronavirus? Hopefully everyone will be okay.
"And just like the coronavirus was no more... @realDonaldTrump, you called it.... coronavirus just disappeared!"
Im curious if in like a week IF corona numbers spike they’ll put an asterisk and be like *protest coronavirus spike. OR the numbers wont increase and we’ll all be like hmmm maybe this was blown out of proportion. 
Coronavirus: Pret a Manger plans rent talks in bid to avoid closures http://goo.gl/w2Cqo
"Scientists, including Indian American, develop test that visually detects coronavirus in 10 mins- http://IndiaLife.us"
