New York let coronavirus-infected nurses work in upstate nursing home https://nypost.com/2020/04/29/ny-state-let-coronavirus-infected-nurses-work-in-nursing-home/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypmetro
"China's model of control has been blamed for the coronavirus crisis, but for some it's looking increasingly attractive - CNN / Who the hell wrote this? The CCP? Folks! This is ⁦@CNN⁩ The question is-why is @cnn parroting communist China’s propaganda?"
Remember the reports of White Supremacists plans to use coronavirus against blk folks? Well all they need is a Governor and colonial programming @Buckhead Atlanta https://www.instagram.com/p/B_lNR0sDja0/?igshid=k6xp5q03ptxx
"The bug version of a ""One Hit Wonder"" #murderhornets #coronavirus #bolognavirus https://www.instagram.com/p/CA04HSIDk06/?igshid=11cj8wra6nmbq"
